PREDICTED,NAME,TYPE
Apple__Apple_scab,Apple Scab,Apple
Apple___Black_rot,Black Rot,Apple
Apple__Cedar_apple_rust,Cedar Apple Rust,Apple
Apple___healthy,Healthy,Apple
Cherry_(including_sour)___healthy,Healthy,Cherry
Cherry_(including_sour)___Powdery_mildew,Powdery Mildrew,Cherry
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Gray Leaf Spot,Corn
Corn_(maize)___Common_rust_,Common Rust,Corn
Corn_(maize)___healthy,Healthy,Corn
Corn_(maize)___Northern_Leaf_Blight,Northern Leaf Blight,Corn
Grape___Black_rot,Black Rot,Grape
Grape___Esca_(Black_Measles),Black Measles,Grape
Grape___healthy,Healthy,Grape
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Leaf Blight,Grape
Peach___Bacterial_spot,Bacterial Spot,Peach
Peach___healthy,Healthy,Peach
"Pepper,_bell___Bacterial_spot",Bacterial Spot,Bell Pepper
"Pepper,_bell___healthy",Healthy,Bell Pepper
Potato___Early_blight,Early Blight,Potato
Potato___healthy,Healthy,Potato
Potato___Late_blight,Late Blight,Potato
Strawberry___healthy,Healthy,Strawberry
Strawberry___Leaf_scorch,Leaf Scorch,Strawberry
Tomato___Bacterial_spot,Bacterial Spot,Tomato
Tomato___Early_blight,Early Blight,Tomato
Tomato___healthy,Healthy,Tomato
Tomato___Late_blight,Late Blight,Tomato
Tomato___Leaf_Mold,Leaf Mold,Tomato
Tomato___Septoria_leaf_spot,leaf Spot,Tomato
Tomato___Spider_mites Two-spotted_spider_mite,Spider Mites,Tomato
Tomato___Target_Spot,Target Spot,Tomato
Tomato___Tomato_mosaic_virus,Mosaic Virus,Tomato
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato Yellow Leaf Curl Virus,Tomato
